Name,Gender,Nationality,Birth Year,Death Year
Karin Sander,Female,German,1957,
Guy Teschmacher,Male,American,1939,
Dieter Wackerlin,Male,Swiss,,
Robert Welch,Male,British,1929,2000
Joseph Schlinger,Male,American,,
Manfred Malzacher,Male,American,1926,
Jack Stringer,Male,American,1927,
Carl Norby,Male,American,1935,
Javier Carvajal,Male,Spanish,1927,
The Custanite Corp. Brooklyn NY,,,1952,
Robert Dumas-Hermes,Male,French,1917,
Louis J. Zerbee,Male,American,,
Ulm Hochschule für Gestaltung,,German,1953,
Thomas V. Paulson,Male,American,1925,
Reinhold Weiss,Male,German,1934,
Eric Randmark,Male,Swedish,,
Frank Heacox,Male,American,1923,
Flemming Bo Hansen,Male,Danish,1955,
Bill Stewart,Male,American,1920,
Moshe Zabari,Male,American,1935,
Yong Soon Min,Female,American,1953,
Patricia Dalzell,Female,American,1938,
Charles J. Mauro,Male,American,,
Pierangela d'Aniello,Female,Italian,1939,
Perry King,Male,British,1938,
Peter Hujar,Male,American,1934,1987
Geoffrey James,Male,Canadian,1942,
Pulos Design Associates Inc.,,American,,
Richard Lowrie,Male,American,,
Richard N. Naylor,Male,American,1943,
Corrado Aroldi,Male,Italian,1936,
Cesare Leonardi,Male,Italian,1935,
Ludwig Mies van der Rohe,Male,American,1886,1969
Dante Bandini,Male,Italian,1940,
Livio Castiglioni,Male,Italian,1911,1979
Ambrogio Tresoldi,Male,Italian,,
Tony Esposito,Male,Canadian,1943,
Robert Siegel,Male,American,1939,
John E. Mullin,Male,American,1963,
Eric Paddock,Male,American,1954,
John Pinderhughes,Male,American,1946,
Toshio Shibata,Male,Japanese,1949,
Craig Schuster,Male,Australian,1960,
Carrie Mae Weems,Female,American,1953,
Popovi Da,Male,American,1931,1971
"Pininfarina (Battista ""Pinin"" Farina)",Male,Italian,1893,1966
Peter Hiort-Loerenzen,Male,Danish,1947,
Olivier,,French,,
Antonio Macchi Cassia,Male,Italian,1937,
Gugelot Institute,,German,,
Hancock Laverne,Male,American,1926,
Roberto Lucci,Male,Italian,,
Allen John Bootroyd,Male,British,1943,
Kurt Steisslinger,Male,German,,
Paul D. Miller,Male,American,1943,
Harry V. Cremonese,Male,American,1939,
Michael Alan Cousins,Male,American,1938,
M & Co,,American,,
Eric Rivkin,Male,American,1951,
Kent Macintosh,Male,American,,
Torsten Thorup,Male,Danish,1944,
Wassili Luckhardt,Male,German,1899,1972
Herbert H. Schultes,Male,German,1938,
Norbert Schlagheck,Male,German,1925,
Hap Sakwa,Male,American,1950,
Hosowo Tomohiro,Male,Japanese,1953,
Bell Laboratories company design,,American,1974,
Stephen Hobson,Male,American,1942,
Glenn Edens,Male,American,1952,
Giotto Stoppino,Male,Italian,1926,
Shiro Kuramata,Male,Japanese,1934,1991
Jan Matthias,,Austrian,,
Koen De Winter,Male,Belgian,1943,
Roberto Ubaldi,Male,Italian,1940,
Umberto Orsoni,Male,Italian,1940,
Gianni Pareschi,Male,Italian,1940,
Gianfranco Facchetti,Male,Italian,1939,
Peter L. Zane,Male,American,1950,
Bengt Palmgren,Male,Swedish,1944,
Kevan Laycraft,Male,Canadian,1955,
John Lonczak,Male,American,1954,
Roald Steen Hansen,Male,Danish,1942,
Mary Kocol,Female,American,1962,
Davide Mercatali,Male,Italian,1948,
Carmen Basile,Female,American,1947,
Jacobus Lucas Verhoog,Male,Danish,1878,
Unknown Designer Chinese,,Chinese,,
Rafael Viñoly,Male,American,1944,
Giuseppe Cappelli,Male,Italian,,
William de Vries,Male,Dutch,,
Earl Childress,Male,American,1956,
Robert Kahn Architects New York,,,,
Nageli & Vallebuona Architekten Berlin,,German,,
Stephen Peart,Male,British,1958,
Steven T. Kaneko,Male,American,1962,
Robert J. King,Male,American,1917,
Panasonic,,Japanese,1918,
Kari Virtanen,Male,Finnish,1948,
Giuseppe Pensotti,Male,Italian,1939,
Gruppo G14,,Italian,,
Paulus van Leeuwen,Male,Dutch,1955,
Alexander Blomberg,Male,German,1949,
Alice von Pechmann,Female,American,1906,
Unknown Designer,,Japanese,,
Poul Henningsen,Male,Danish,1894,1967
Unknown Designer,,Austrian,,
John Barnard,Male,British,1946,
FM Designs,,British,1988,
Alberto Meda,Male,Italian,1945,
Franco Raggi,Male,Italian,1945,
Denis Santachiara,Male,Italian,1950,
Tim Parsey,Male,British,1960,
Mark Sanders,Male,British,1956,
Bashir Zivari,Male,American,1961,
Masuteru Aoba,Male,Japanese,1939,
Emile-Jacques Ruhlmann,Male,French,1879,1933
Unknown Designer,,Czech,,
Jürgen Greubel,Male,German,,
Charles O. Perry,Male,American,1929,2011
Paolo Lomazzi,Male,Italian,1936,
Donato D'Urbino,Male,Italian,1935,
Ugo La Pietra,Male,Italian,1938,
Lynn Alexander,Female,American,,
Emily Belding,Female,American,1904,1999
Yvonne Dellatre,Female,Swiss,,
Alexander Girard,Male,American,1907,1993
Eszter Haraszty,Female,American,1920,1994
Jack Lenor Larsen,Male,American,1927,
Klearflax Linen Looms,,American,,
Martin,Male,Nationality unknown,,
Sven Markelius,Male,Swedish,1889,1972
Dorothy Liebes,Female,American,1899,1972
Astrid Sampe,Female,Swedish,1909,2002
Joel Robinson,Male,American,,
Ada Louise Huxtable,Female,American,1921,2013
Lodovico Meneghetti,Male,Italian,1926,
Heinz Rasch,Male,German,1902,1996
Sigurd Persson,Male,Swedish,1914,
Angelo Testa,Male,American,1921,1984
Basil Spence,Male,British,1907,1976
Ellen Siegel,Female,American,,
Vera (Vera Neumann),Female,American,1909,1993
Gretl Wollner,Female,Austrian,1920,2006
Roger Tallon,Male,French,1929,
Bertel Gardberg,Male,Finnish,1916,
Warren Platner,Male,American,1919,2006
Willa Percival,Female,American,,
Matthew Abbott,Male,British,1965,
Petah Coyne,Female,American,1953,
Moustapha Dimé,Male,Senegalese,1952,1998
Marisa Merz,Female,Italian,1931,
Donald T. Chadwick,Male,American,1936,
William Stumpf,Male,American,1936,2006
The Stanley Works,,American,1843,
Werner Büttner,Male,German,1954,
Marc van de Loo,Male,Swiss,1966,
Steve Jobs,Male,American,1955,
Jerry Manock,Male,American,,
Walter Ballmer,Male,Swiss,1923,
Peggy Diggs,Female,American,1946,
Tadeusz Myslowski,Male,American,1943,
Jaune Quick-to-see Smith,Female,American,1940,
Ann Hamilton,Female,American,1956,
Cecil Stephenson,Male,British,1889,1965
Miguel Angel Rios,Male,Argentine,1943,
Atelier de Creation Graphique,,French,,
Tsuguya Inone,Female,Japanese,,
Toshifumi Kawahara,Male,Japanese,,
Akio Okumura,Male,Japanese,,
Shinro Otake,Male,Japanese,,
Gary Hill,Male,American,1951,
Otto Struck,Male,German,,
Chuck Hoberman,Male,American,1956,
Scott Marble,Male,American,1960,
Yoshito Takahashi,Male,Japanese,1962,
Jacques Herzog,Male,Swiss,1950,
Pierre de Meuron,Male,Swiss,1950,
Karen Fairbanks,Female,American,1959,
George Howe,Male,American,1886,1955
William Lescaze,Male,American,1896,1969
Martin Diethelm,Male,Swiss,,
Hans Gantert,Male,German,1934,
José Bedia,Male,Cuban,1959,
Vijay Kumar,Male,Indian,1942,
Giulio Aristide Sartorio,Male,Italian,1860,1932
Walter Pfeiffer,Male,,,
J. Van Der Wal,,Nationality unknown,,
Bureau,,American,,
Donald Moffett,Male,American,1955,
Marlene McCarty,Female,American,1957,
Marco Ferreri,Male,Italian,1958,
Kazuo Kawasaki,Male,Japanese,1949,
Ross Lovegrove,Male,British,1958,
Lella Vignelli,Female,Italian,1934,2016
David Law,Male,American,1937,
Johann Loetz,Male,American,1848,1933
Moira Dryer,Female,Canadian,1957,1992
Mona Hatoum,Female,British,1952,
Rodolfo Bretzel,Male,Italian,1966,
Thomas Eriksson,Male,Swedish,1959,
Jean Nouvel,Male,French,1945,
Vincent de Rijk,Male,Dutch,1962,
Arribas,,Spanish,,
Arturo Ballester,Male,Spanish,1890,1979
Boni,,Spanish,,
J. Briones,,Spanish,,
Art Chantry,Male,American,1954,
Jose Espert,Male,Spanish,,
Francisco Rivero Gil,Male,Spanish,1899,1972
Juan Parrilla,Male,Spanish,,
Simon Leung,Male,American,1964,
Gabriel Orozco,Male,Mexican,1962,
Kim Jones,Male,American,1944,
Sara Sosnowy,Female,American,1957,
Bill Traylor,Male,American,1854,1947
Elyn Zimmerman,Female,American,1945,
Cliff Chi,Male,American,1964,
René Herbst,Male,French,1891,1982
Charles B. Kaufmann,Male,American,1890,1957
Christian de Portzamparc,Male,French,1944,
Hélène Delprat,Female,German,1957,
Gordon Cook,Male,American,1927,1985
Grenville Davey,Male,British,1961,
General Idea,Male,Canadian,,
Federico Guzmán,Male,Spanish,1964,
Alfredo Jaar,Male,Chilean,1956,
Richard Mock,Male,American,1944,
Rirkrit Tiravanija,Male,Thai,1961,
Enrique Chagoya,Male,Mexican,1953,
Lucien Pissarro,Male,French,1863,1944
Daniel Lang,Male,American,1935,2013
James Kearns,Male,American,1924,
(follower of) José-Guadalupe  Posada,Male,Mexican,1852,1913
Luis Alberto Wells,Male,Argentine,1940,
Tom Friedman,Male,American,1965,
Doris Salcedo,Female,Colombian,1958,
Tony Oursler,Male,American,1957,
Kcho (Alexis Leyva Machado),Male,Cuban,1970,
Simon Patterson,Male,British,1967,
Kay Rosen,Female,American,1947,
Alexis Smith,Female,American,1949,
Sue Williams,Female,American,1954,
Giulio Paolini,Male,Italian,1940,
Gilbert & George,Male,British,,
Karen Kunc,Female,American,,
Douglas Blau,Male,American,1955,
Paul Balluriau,Male,French,1860,1917
Raymond Pettibon,Male,American,1957,
Toba Khedoori,Female,Australian,1964,
Rebecca Horn,Female,German,1944,
Roni Horn,Female,American,1955,
Phyllis Bramson,Female,American,1941,
Koichi Yoshimura,Male,Japanese,1940,
Yamazaki Vellodo Co. Ltd.,,Japanese,,
Eiji Miyamoto,Male,Japanese,1948,
Ritva Puotila,Female,Finnish,1935,
Edward William Godwin,Male,British,1833,1886
Harry J. Powell,Male,British,1855,1922
Tomoyuki Sugiyama,Male,Japanese,1954,
Sir William Lyons,Male,British,1901,1985
Malcolm Sayer,Male,British,1916,1970
Cyan,,German,1992,
Jennifer Morla,Female,American,1955,
Luc Tuymans,Male,Belgian,1958,
Marlene Dumas,Female,South African,1953,
Nobuyoshi Araki,Male,Japanese,1940,
Willie Birch,Male,American,1942,
Minnie Evans,Female,American,1892,1987
Andrea Zittel,Female,American,1965,
Toyo Ito,Male,Japanese,1941,
Daniel Libeskind,Male,American,1946,
Cesar Pelli,Male,American,1926,
Ben van Berkel,Male,Dutch,1957,
Mehrdad Yazdani,Male,Iranian,1959,
Bernhard Fuchs,Male,Austrian,1971,
Nan Goldin,Female,American,1953,
Jean-Luc Moulène,Male,French,1955,
Julião Sarmento,Male,Portuguese,1948,
Christian Schumann,Male,American,1970,
Mikko Heikkinen,Male,Finnish,1949,
Markku Komonen,Male,Finnish,1945,
Stuart Brisley,Male,British,1933,
Don Brown,Male,British,1962,
Helen Chadwick,Female,British,1953,1996
Tracey Emin,Female,British,1963,
Angus Fairhurst,Male,British,1966,2008
Liam Gillick,Male,British,1964,
Gary Hume,Male,British,1962,
Sam Taylor-Wood,Female,British,1967,
John Biggers,Male,American,1924,2001
Franz West,Male,Austrian,1947,2012
Elia Zenghelis,Female,British,1937,
Zoe Zenghelis,Female,British,1937,
Gwathmey Siegel & Associates Architects,,American,1967,
Laurids Ortner,Male,Austrian,1941,
Manfred Ortner,Male,Austrian,1943,
Kazuyo Sejima & Associates,,Japanese,1987,
Marc Tsurumaki,Male,American,1965,
Jonathan Crary,Male,American,1951,
Joel Sanders,Male,American,1956,
Herzog & de Meuron Basel,,Swiss,1978,
Thomas Blossfeldt,Male,Swiss,1950,
Norman Foster,Male,British,1935,
James Wines,Male,American,1932,
Harry C. Wolf,Male,American,1935,
Wolf D. Prix,Male,Austrian,1942,
Helmut Swiczinsky,Male,Polish,1944,
Ortner & Ortner,,Austrian,1987,
Winy Maas,Male,Dutch,1959,
Elizabeth Alford,Female,American,1967,
Ray Maggiore,Male,American,1964,
Vince Scirano,Male,American,1966,
Ron Steiner,Male,American,1952,
Xaveer de Geyter,Male,Dutch,1970,
Rody Graumans,Male,Dutch,1968,
Hella Jongerius,Female,Dutch,1963,
Tejo Remy,Male,Dutch,1960,
Arian Brekveld,Male,Dutch,1968,
Jos van der Meulen,Male,Dutch,1958,
Marcel Wanders,Male,Dutch,1963,
Studio Tetrarc,,Italian,1969,
Paolo Rizzatto,Male,Italian,1941,
Maurizio Ficcadenti,Male,Italian,1970,
David Moreno,Male,American,1957,
Florence Knoll,Female,American,1917,
Patti Smith,Female,American,1946,
Bent Hedegaard Nobert,Male,Danish,1959,
Montse Padrós i Marqués,Male,Spanish,1952,
Carlos Riart,Male,Spanish,1944,
Ben Faydherbe,Male,Dutch,1958,
Wout De Vringer,Male,Dutch,1959,
Opera,,Dutch,1985,
Ton Homburg,Male,Dutch,1952,
Emil Hoppe,Male,Austrian,1876,1957
Robert A. M. Stern,Male,American,1939,
Marcel Kammerer,Male,Austrian,1878,1969
Otto Schönthal,Male,Austrian,1878,1961
Steven Holl Architects,,American,1976,
Stephen Cassell,Male,American,1963,
Pier Copat,Male,American,,
Bryan Bell,Male,American,,
Peter Lynch,Male,American,,
Pieter Laurens Mol,Male,Dutch,1946,
Waltercio Caldas,Male,Brazilian,1946,
Lari Pittman,Male,American,1952,
Nancy Rubins,Female,American,1952,
Nicola Tyson,Female,British,1960,
Lex Reitsma,Male,Dutch,1958,
Studio Boot,,Dutch,1992,
Edwin Vollebergh,Male,,,
Pietra Jansen,Female,,,
Una,,Dutch,1992,
Will De L'ecluse,Male,Dutch,1951,
Jan van Toorn,Male,Dutch,1932,
Rudolf Stingel,Male,Italian,1956,
Carol Hepper,Female,American,1953,
Hale Woodruff,Male,American,1900,1980
Yasumasa Morimura,Male,Japanese,1951,
Wild Plakken,,Dutch,1977,
Lies Ros,Male,Dutch,1952,
Frank Beekers,Male,Dutch,,
Rob Schroder,Male,Dutch,1950,
IBM Corporation,,American,1911,
Paul McCarthy,Male,American,1945,
Roger Ballen,Male,South African,1950,
Ellen Gallagher,Female,American,1965,
Steve Wolfe,Male,American,1955,2016
Gerald Brockhurst,Male,American,1890,1978
Yvonne Droge-Wendel,Female,German,1961,
Elaine Lustig Cohen,Female,American,1927,2016
Frank Paulin,Male,American,1926,
Dieter Appelt,Male,German,1935,
Shimon Attie,Male,American,1957,
Per Bernsten,Male,Norwegian,1942,
Bruce Charlesworth,Male,American,1950,
David Goldes,Male,American,1947,
Geoffrey Biddle,Male,American,1950,
Rudy Burckhardt,Male,American,1914,1999
Carl Martin,Male,American,1958,
Floris M. Neusüss,Male,German,1937,
Melissa Ann Pinney,Female,American,1953,
Gabrielle Russomagno,Female,American,1963,
Shelly Rusten,Male,American,1938,
Herman Schervee,Male,Norwegian,1867,1923
Christer Strömholm,Male,Swedish,1918,2002
Aldo Rossi,Male,Italian,1931,1997
Franz Erhard Walther,Male,German,1939,
Joel Leivick,Male,American,1951,
John Claude White,Male,British,1853,1918
Eduardo Arroyo,Male,Spanish,1937,
Eugène Druet,Male,French,1868,1917
Horst P. Horst,Male,American,1906,1999
Robert Howlett,Male,British,1831,1858
Calvert Richard Jones,Male,British,1802,1877
Drahomir Joseph Ruzicka,Male,American,1870,1960
Frank Meadow Sutcliffe,Male,British,1853,1941
Léon Vidal,Male,French,1833,1906
Fred Tomaselli,Male,American,1956,
Sylvie Fleury,Female,Swiss,1961,
Louis Legrand,Male,French,1863,1951
Antonio Muntadas,Male,Spanish,1942,
Alyson Shotz,Female,American,1964,
Martin Walde,Male,Austrian,1957,
Kara Walker,Female,American,1969,
Michael Joaquin Grey,Male,American,1961,
Paulina Wallenberg-Olsson,Female,,,
Group Material,,American,1979,1996
Helga von Eicken-Kopperl,Female,Canadian,,
Equipo Crónica,Male,Spanish,1964,1981
Peter Nadin,Male,American,1954,
Rafael Solbes,Male,Spanish,1940,1981
Barbara Blondeau,Female,American,1938,1974
Adam Bartos,Male,American,1953,
Yukinori Yanagi,Male,Japanese,1959,
Kevin Bubriski,Male,American,1954,
Terry Evans,Female,American,1944,
Adolphe-Léon Willette,Male,French,1857,1926
Jay DeFeo,Female,American,1929,1989
José Gabriel Gonzáles,Male,Peruvian,1900,1978
Nicholas Grimshaw,Male,British,1939,
Eric Rondepierre,Male,French,1950,
David Spear,Male,American,1937,
Paul Jeuffrain,Male,French,,1916
François Kollar,Male,French,1904,1979
Herbert List,Male,German,1903,1975
John Milisenda,Male,American,1947,
Margaret Moulton,Female,American,1956,
Susan Weil,Female,American,1930,
Frank Sellitto,Male,American,1951,
Wojciech Prazmowski,Male,Polish,1949,
Mike and Doug Starn,Male,American,1961,
U.S. Geological Survey and NASA Surveyor III,,American,,
Jay Wolke,Male,American,1954,
Shikanosuke Yagaki,Male,Japanese,1897,1966
Jerry Schatzberg,Male,American,1927,
Carolee Schneemann,Female,American,1939,
Graham Smith,Male,British,1947,
Hélio Oiticica,Male,Brazilian,1937,1980
Paul Vanderbilt,Male,American,1905,1992
Catherine Wagner,Female,American,1953,
Mogens Balle,Male,Danish,1921,1988
Sven Dalsgaard,Male,Danish,1914,
Knud Jans,Male,Danish,,
Niels Jensen,Male,Danish,,
Bago Nielsen,,Danish,,
Axel Wilmar,Male,Danish,,
Johs Jensen,Male,Danish,,
Raphael Drouart,Male,French,1884,
Jeanne Bardey,Female,French,1872,1954
Maurice Asselin,Male,French,1882,1947
Willibald Kramm,Male,German,1891,
Georg Meistermann,Male,German,1911,
Emil Kiess,Male,German,1930,
Hubertus von Pilgrim,Male,German,1931,
Rigaud Benoit,Male,Haitian,1911,1986
Dieudonne Cedor,Male,Haitian,1925,2010
Gabriel Alix,Male,Haitian,1930,1998
Arnold Lafontant,Male,Haitian,,
Gabriel Lévêque,Male,Haitian,1923,
Lusimond Merelus,Male,Haitian,,
Denis Vergin,Male,Haitian,,
Jacob Burck,Male,American,1907,1982
Russell Limbach,Male,American,1904,1971
Robert Walters,Male,American,1925,2008
Jack Garver,Male,American,,
John Wood,Male,American,,
Frederick Franck,Male,American,1909,2006
Stephan Balkenhol,Male,German,1957,
Douglas Gordon,Male,Scottish,1966,
Andreas Gursky,Male,German,1955,
Jerry Cooke,Male,American,1922,2005
Imi Knoebel,Male,German,1940,
Sarah Lucas,Female,British,1962,
Jessie Tarbox Beals,Female,American,1870,1942
Juan Muñoz,Male,Spanish,1953,2001
Clements,Male,American,,
Jean-Luc Mylayne,Male,French,1946,
Tommaso Cuccioni,Male,Italian,,1864
VALIE EXPORT,Female,Austrian,1940,
Cady Noland,Female,American,1956,
Vik Muniz,Male,Brazilian,1961,
Kirill Rozhdestvenskii,Male,Russian,1932,
Alexander Slussarev,Male,Russian,1944,
R.J. Waters & Co.,,American,,
Giorgio Sommer,Male,Italian,1834,1914
Franco Zecchin,Male,Italian,1953,
Roman Signer,Male,Swiss,1938,
Thomas Struth,Male,German,1954,
Jeff Wall,Male,Canadian,1946,
Uta Barth,Female,American,1958,
Tria Giovan,Female,American,1961,
Kurt Kranz,Male,German,1910,1997
Erwin Smith,Male,American,1886,1947
Gerd Bonfert,Male,Romanian,1953,
Manuel Valdes,Male,Spanish,1942,
Rose Mandel,Female,American,1910,2002
Peter Klasen,Male,German,1935,
David Swedlow,Male,American,,
Peter Stampfli,Male,Swiss,1937,
Étienne-Jules Marey,Male,French,1830,1904
George Demeny,Male,,,
Ava Gerber,Female,American,1961,
Sean Mellyn,Male,American,1965,
Jonathan Seliger,Male,American,1955,
Frank K. Bacher,Male,Nationality unknown,,
Katy Schimert,Female,American,1963,
Diana Michener,Female,American,1940,
Bernard Rancillac,Male,French,1931,
Rafael Montañez Ortiz,Male,American,1934,
Dörte Eissfeldt,Female,German,1950,
Sharon Harper,Female,American,1966,
Sanjeev Saith,Male,Indian,1958,
Frances Benjamin Johnston,Female,American,1864,1952
Bastienne Schmidt,Male,German,1961,
Colette Alvarez Urbajtel,Female,French,1934,
Nicholas Dean,Male,American,1933,
Rachel Harrison,Female,American,1966,
Herb Snitzer,Male,American,1932,
The Group,,Finnish,,
Juha Kaakko,,Finnish,1964,
Kimmo Liimatainen,,Finnish,1965,
Jari Tirkkonen,,Finnish,1965,
Ilkka Laine,Female,Finnish,1964,
Heikkinen Komonen Architects,,Finnish,1974,
Seiichi Furuya,Male,Japanese,1950,
Vladimir Syomin,Male,Russian,1938,
Amy Arbus,Female,American,1954,
Accra Shepp,Male,American,1962,
Bertien van Manen,Female,Dutch,1942,
Judith Rothschild,Female,American,,
Power Boothe,Male,American,1945,
Naomi Boretz,Female,American,1935,
Marvin Brown,Male,American,1943,
Kenneth Bushnell,Male,,1933,
Jean Cohen,Female,American,,
Ruth Eckstein,Female,American,1916,2011
Gabriele Evertz,Female,American,,
Helen Gilbert,Female,American,,
James Gross,Male,American,,
Paul Heald,Male,American,,
Ward Jackson,Male,American,1929,2004
James Juszczyk,Male,American,,
Martha Keller,Female,American,,
Jane Logemann,Female,American,1942,
Katinka Mann,Female,American,,
Nancy Manter,Female,American,,
Hiroshi Murata,Male,Japanese,1941,
Mary Obering,Female,American,,
Joan Webster Price,Female,American,,
Raquel Rabinovich,Female,American,,
Beatrice Riese,Female,American,1917,2004
Ce Roser,Female,American,1930,
Irene Rousseau,Female,American,,
Wilfred Graf Schwerin Von Krosigk,Male,American,,
Peter Stroud,Male,American,,
Mac Wells,Male,American,,
Stephen Westfall,Male,American,,
Teiji Furuhashi,Male,Japanese,1960,1995
Bill Viola,Male,American,1951,
Maya Ying Lin,Female,American,1959,
Tom Slaughter,Male,American,1955,
An-My Lê,Female,American,1960,
Kenzo Okada,Male,American,1902,1982
Henri-Victor Regnault,Male,French,1810,1878
Adolphe Terris,Male,French,1820,1900
Ming Smith,Female,American,,
René Ravo,Male,French,1904,1998
Vivian Cherry,Female,American,1920,
Valdir Cruz,Male,Brazilian,1952,
Rudolf Schwarzkogler,Male,Austrian,1940,1969
Charles Long,Male,American,1958,
Mikhail Razulevich,Male,Russian,1904,1993
Werner Rohde,Male,German,1906,1990
Ian Wallace,Male,Canadian,1943,
Stanisław Ignacy Witkiewicz,Male,Polish,1885,1939
Mariana Yampolsky,Female,Mexican,1925,2002
Not Vital,Male,Swiss,1948,
Jill Baroff,Female,American,1954,
William Kentridge,Male,South African,1955,
Maria Serebriakova,Female,Russian,1965,
Lola Alvarez Bravo,Female,Mexican,1907,1993
Roger Cutforth,Male,British,1944,
Hope Sandrow,Female,American,1951,
Bogdan Achimescu,Male,Romanian,1965,
Deborah Oropallo,Female,American,1954,
Terry Adkins,Male,American,1953,2014
Rona Pondick,Female,American,1952,
Louise Lawler,Female,American,1947,
Joseph Grigely,Male,American,1956,
Jonas Mekas,Male,Lithuanian,1922,
Luca Buvoli,Male,Italian,1963,
Neil M. Denari,Male,American,1957,
Werner Aisslinger,Male,German,1964,
Wendell Castle,Male,American,1932,
Tom Dixon,Male,British,1959,
Jacques Lowe,Male,American,1924,
Charles Moore,Male,American,1931,2010
Lew Thomas,Male,American,1932,
José Leonilson,Male,Brazilian,1957,1993
Jean-Michel Othoniel,Male,French,1964,
Elaine Reichek,Female,American,1943,
Mira Schendel,Female,Brazilian,1919,1988
Sarah Sze,Female,American,1969,
James Castle,Male,American,1900,1977
Dennis Hopper,Male,American,1936,2010
Lisa Yuskavage,Female,American,1962,
Chris Ofili,Male,British,1968,
Jim Shaw,Male,American,1952,
Gary Simmons,Male,American,1964,
Katharina Bosse,Female,German,1968,
Ernest Cole,Male,South African,1940,1990
Yevgeny Khaldei,Male,Russian,1916,1998
Ivan Shagin,Male,Russian,1904,1982
Arkadii Shishkin,Male,Russian,1899,
Anatolli Skurikhin,Male,Russian,1900,1991
Aleksandr Ustinov,Male,Russian,1909,
Georgi Zelma,Male,Russian,1906,1984
interware SARL,Male,French,2000,
Jasper Morrison,Male,British,1959,
Serge Mouille,Male,French,1922,1988
Jean Prouvé,Male,French,1901,1984
Sony Corporation company design,,Japanese,1946,
Bas Oudt,Male,Dutch,1956,
Cedric Price,Male,British,1934,2003
Michael Webb,Male,British,1937,
Mathias Ungers,Male,German,1926,2007
Franco Albini,Male,Italian,1905,1977
Simon Ungers,Male,German,1957,2006
Constantin Boym,Male,American,1955,
Laurene Leon Boym,Female,American,1964,
Michel Bufet,Male,French,,
Antonio Citterio,Male,Italian,1950,
Glen Oliver Löw,Male,German,1959,
Lyn Godley,Female,American,1956,
Marc Newson,Male,Australian,1963,
Johannes Potente,Male,German,1908,1987
Jhoon Rhee,,American,1932,
Paul Schudel,Male,Dutch,1951,
Hans Maier-Aichen,Male,German,1940,
Sebastian Bergne,Male,British,1966,
Santina Bonini,Female,Italian,1961,
Claudio Cesar,Male,American,1955,
Bob Evans,Male,American,1950,
Gordon Randall Perry,Male,American,1943,
Figla Research Center,,Japanese,,
Joseph Forakis,Male,American,1962,
Eric Goetz,Male,American,1949,
Howatt Archery,,Nationality unknown,,
Lawrence Lam,Male,American,1960,
Lloyd Schwan,Male,American,1955,2001
Ernesto Spicciolato,Male,Italian,1957,
Takeshi Ishiguro,Male,Japanese,1969,
Per Jari,,Swedish,1951,
Jan Ohrn,,Swedish,1943,
Doug Olson,Male,American,1961,
Lawrence Livermore National Laboratory,,American,1952,
Christopher Connell,Male,Australian,1954,
Noriaki Okabe,Male,Japanese,1931,
Sanford Redmond,Male,American,1924,
Scott Riegleman,Male,American,1957,
Marc Sadler,Male,French,1946,
Belkis Ayón,Female,Cuban,1967,1999
Fiona Banner,Female,British,1966,
Karen Kilimnik,Female,American,1955,
Emros Team,Male,Japanese,,
Wayman R. Spence,Male,American,1934,
Giorgio Gurioli,Male,Italian,1957,
Francesco Scansetti,Male,Italian,1955,
Bradford Bissell,Male,American,1957,
Charles S. Anderson,Male,American,1958,
Tracey Moffatt,Female,Australian,1960,
Elizabeth Peyton,Female,American,1965,
Ugo Rondinone,Male,Swiss,1964,
Wolfgang Tillmans,Male,German,1968,
Hans-Peter Feldmann,Male,German,1941,
Luba Lukova,Female,American,1960,
Ralph Schraivogel,Male,Dutch,1960,
Marlene Streeruwitz,Female,Austrian,1950,
Wiel Arets,Male,Dutch,1955,
Dominique Perrault,Male,French,1953,
Dominique Perrault Architecture Paris,,French,1981,
Taniguchi & Associates,,Japanese,,
Yoshio Taniguchi,Male,Japanese,1931,
Bernard Tschumi Architects,,Swiss,,
Lilly Reich,Female,German,1885,1947
Osvaldo Borsani,Male,Italian,1911,1985
Hans Coray,Male,Swiss,1906,1991
Ghislain Uhry,,French,1932,
Antoine-Francois-Jean Claudet,Male,French,1797,1867
Arnold Crane,Male,American,1932,
Robert Adamson,Male,British,1821,1848
Jorge Ribalta,Male,Spanish,1963,
Abraham Shterenberg,Male,Russian,1894,1978
Charles Thurston Thompson,Male,British,1816,1868
Oliver Wasow,Male,American,1960,
Prefecture of Police Paris,,,,
Cai Guo-Qiang,Male,Chinese,1957,
Jitka Hanzlová,Female,Czech,1958,
Otto Muehl,Male,Austrian,1925,2013
Fritz Schleifer,Male,German,1903,1977
Gerhard Rühm,Male,Austrian,1930,
Merry Alpern,Female,American,1955,
Thomas Geismar,Male,American,1931,
Bruce Blackburn,Male,American,1938,
Thomas Mohr,Male,American,1948,
Gordon Parks,Male,American,1912,2006
John Szarkowski,Male,American,1925,2007
Sari Dienes,Female,American,1898,1992
Gosbert Adler,Male,German,1956,
Peter Doig,Male,British,1959,
Bing Wright,Male,American,1958,
Christopher Bucklow,Male,British,1957,
Miyako Ishiuchi,Female,Japanese,1947,
Julia Fish,Female,American,1950,
Suzan Frecon,Female,American,1941,
Marcia Hafif,Female,American,1929,
Marco Breuer,Male,German,1966,
Hilla Becher,Female,German,1934,2015
Jeanne Dunning,Female,American,1960,
Eve Laramee,Female,American,1956,
